Equipo;Componente;P.E;Ubicacion Gam;Estado anterior;Visc Anterior;Aceite en gam;visc min;visc max;ISO max;ISO ant;IV ant;Fecha
UNIDAD 10;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 11;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 12;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 13;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 13A;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 14;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 15;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 16;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 17;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 18;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 18A;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 19;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 20;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 21;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 22;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 23;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 23A;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 24;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 25;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 26;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 27;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 28;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 28A;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 29;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 30;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
UNIDAD 31;General;Deposito;;;;68;52,1;82,2;21/17;;;12/05/2019
RTP 10;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 11;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 12;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 14;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 15;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 16;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 17;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 19;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 20;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 21;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 22;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 24;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 25;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 26;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 27;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 29;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 30;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 31;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
RTP 32;General;Deposito;;;;460;372,6;556,6;21/17;;;12/05/2019
CENTRAL 2;General;Deposito;;;;46;37,2;55,6;16/13;;;12/05/2019
CENTRAL 3;General;Deposito;;;;46;37,2;55,6;16/14;;;12/05/2019
CENTRAL 4;General;Deposito;;;;46;37,2;55,6;16/15;;;12/05/2019
CENTRAL 5;General;Deposito;;;;46;37,2;55,6;16/16;;;12/05/2019
CENTRAL 6;General;Deposito;;;;46;37,2;55,6;16/17;;;12/05/2019
